ID,position
1,Guard
2,Guard
3,Guard
4,Center
5,Center
6,Forward
7,Guard
8,Forward
9,Guard
10,Center
11,Guard
12,Center
13,Guard
14,Guard
15,Forward
16,Guard
17,Center
18,Forward
19,Forward
20,Guard
21,Guard
22,Forward
23,Guard
24,Guard
25,Forward
26,Guard
27,Guard
28,Guard
29,Guard
30,Guard
31,Forward
32,Forward
33,Forward
34,Forward
35,Forward
36,Forward
37,Guard
38,Forward
39,Forward
40,Guard
41,Guard
42,Guard
43,Guard
44,Guard
45,Forward
46,Center
47,Forward
48,Center
49,Guard
50,Forward
51,Forward
52,Forward
53,Guard
54,Forward
55,Guard
56,Forward
57,Guard
58,Guard
59,Forward
60,Guard
61,Forward
62,Forward
63,Forward
64,Forward
65,Center
66,Forward
67,Forward
68,Forward
69,Forward
70,Guard
71,Guard
72,Forward
73,Forward
74,Forward
75,Forward
76,Guard
77,Guard
78,Forward
79,Guard
80,Forward
81,Guard
82,Center
83,Forward
84,Guard
85,Forward
86,Forward
87,Forward
88,Forward
89,Guard
90,Guard
91,Forward
92,Guard
93,Forward
94,Forward
95,Forward
96,Guard
97,Guard
98,Forward
99,Forward
100,Forward
101,Guard
102,Forward
103,Guard
104,Guard
105,Forward
106,Forward
107,Forward
108,Guard
109,Guard
110,Forward
111,Guard
112,Center
113,Center
114,Guard
115,Guard
116,Guard
117,Center
118,Guard
119,Guard
120,Guard
121,Guard
122,Forward
123,Guard
124,Guard
125,Forward
126,Forward
127,Forward
128,Forward
129,Forward
130,Forward
131,Forward
132,Center
133,Guard
134,Guard
135,Guard
136,Center
137,Forward
138,Guard
139,Forward
140,Guard
141,Forward
142,Forward
143,Guard
144,Guard
145,Forward
146,Forward
147,Forward
148,Guard
149,Guard
150,Guard
151,Guard
152,Guard
153,Forward
154,Forward
155,Guard
156,Center
157,Guard
158,Center
159,Center
160,Guard
161,Center
162,Forward
163,Forward
164,Forward
165,Forward
166,Guard-Forward
167,Guard
168,Forward
169,Guard
170,Guard
171,Forward
172,Guard
173,Forward
174,Forward
175,Center
176,Guard
177,Forward
178,Guard
179,Forward
180,Center
181,Guard
182,Guard
183,Forward
184,Forward
185,Forward
186,Guard
187,Forward
188,Forward
189,Center
190,Guard
191,Forward
192,Guard
193,Forward
194,Center
195,Guard
196,Guard
197,Guard
198,Forward
199,Forward
200,Forward
201,Forward
202,Forward
203,Forward
204,Guard
205,Forward
206,Forward
207,Guard
208,Forward
209,Guard
210,Guard
211,Forward
212,Guard
213,Forward
214,Guard
215,Guard
216,Guard
217,Forward
218,Guard
219,Guard
220,Forward
221,Guard
222,Guard
223,Forward
224,Forward
225,Center
226,Guard
227,Forward
228,Guard
229,Forward
230,Forward
231,Forward
232,Forward
233,Center-Forward
234,Guard
235,Center
236,Guard
237,Guard
238,Forward
239,Guard
240,Center
241,Forward
242,Forward
243,Guard
244,Center
245,Guard
246,Forward
247,Forward
248,Guard
249,Forward
250,Forward
251,Guard
252,Guard
253,Guard
254,Forward
255,Forward
256,Forward
257,Forward
258,Forward
259,Guard
260,Center
261,Forward
262,Forward
263,Forward
264,Guard
265,Guard
266,Center
267,Forward
268,Forward
269,Guard
270,Guard
271,Forward
272,Forward
273,Forward
274,Forward
275,Forward
276,Forward
277,Forward
278,Center
279,Forward
280,Forward
281,Forward
282,Forward
283,Guard
284,Forward
285,Forward
286,Center
287,Forward
288,Forward-Center
289,Guard
290,Guard
291,Guard
292,Center
293,Forward
294,Guard
295,Center
296,Guard
297,Forward
298,Forward
299,Forward
300,Guard
301,Forward
302,Forward
303,Guard
304,Guard
305,Guard
306,Guard
307,Center
308,Forward
309,Center
310,Forward
311,Forward-Center
312,Center
313,Forward
314,Guard
315,Guard
316,Guard
317,Forward
318,Forward
319,Center
320,Forward
321,Forward
322,Forward
323,Guard
324,Guard
325,Guard
326,Forward
327,Forward
328,Guard
329,Forward
330,Guard
331,Forward
332,Guard
333,Forward
334,Guard
335,Forward
336,Forward
337,Guard
338,Forward
339,Forward
340,Forward
341,Forward
342,Forward
343,Guard
344,Forward
345,Guard
346,Guard
347,Forward
348,Forward
349,Guard
350,Guard
351,Forward
352,Forward
353,Forward
354,Forward
355,Forward
356,Center
357,Center
358,Guard
359,Guard
360,Guard
361,Forward
362,Forward
363,Guard
364,Forward
365,Center
366,Guard
367,Forward
368,Forward
369,Guard
370,Guard
371,Guard
372,Guard
373,Guard
374,Guard
375,Forward
376,Guard
377,Center
378,Guard
379,Forward
380,Guard
381,Guard
382,Guard
383,Forward
384,Guard
385,Center
386,Center
387,Guard
388,Guard
389,Forward
390,Forward
391,Center
392,Forward
393,Guard
394,Center
395,Guard
396,Guard
397,Center
398,Guard
399,Guard
400,Forward
401,Forward
402,Forward
403,Guard
404,Center
405,Guard
406,Forward-Center
407,Forward
408,Guard
409,Forward
410,Forward
411,Forward
412,Forward
413,Guard
414,Guard
415,Guard
416,Forward
417,Guard
418,Forward
419,Guard
420,Forward
421,Center
422,Guard
423,Center
424,Guard
425,Guard
426,Forward
427,Guard
428,Guard
429,Forward
430,Guard
431,Forward
432,Guard
433,Forward
434,Forward
435,Guard
436,Guard
437,Guard
438,Guard
439,Forward
440,Guard
441,Forward
442,Guard
443,Forward
444,Guard
445,Forward
446,Guard
447,Forward
448,Forward
449,Guard
450,Forward
451,Guard
452,Guard
453,Center
454,Forward
455,Guard
456,Forward
457,Forward
458,Center
459,Forward
460,Guard-Forward
461,Guard
462,Forward
463,Guard
464,Forward
465,Forward
466,Guard
467,Guard
468,Guard
469,Center
470,Guard
471,Forward
472,Forward
473,Guard
474,Forward
475,Guard
476,Guard
477,Forward
478,Guard
479,Forward
480,Forward
481,Forward
482,Forward
483,Forward
484,Guard
485,Forward
486,Center
487,Guard
488,Guard
489,Guard
490,Guard
491,Guard
492,Forward
493,Forward
494,Forward
495,Forward
496,Center
497,Center
498,Forward
499,Center
500,Center
501,Forward
502,Guard
503,Forward
504,Center
505,Forward
506,Guard
507,Guard
508,Forward
509,Guard
510,Forward
511,Guard
512,Forward
513,Forward
514,Forward
515,Guard
516,Guard
517,Guard
518,Guard
519,Forward
520,Guard
